#RESOURCE=yCat_120590137
#Name: J/AcA/59/137
#Title: ASAS Galactic fundamental mode RR Lyrae stars (Szczygiel+, 2009)
#Table	J_AcA_59_137_table1:
#Name: J/AcA/59/137/table1
#Title: Fourier parameters for 1423 ASAS RRab stars
#Column	a0	(F9.6)	a0 Fourier parameter	[ucd=stat.fit.param]
#Column	a1	(F9.6)	a1 Fourier parameter	[ucd=stat.fit.param]
#Column	phi1	(F9.6)	{phi}1 Fourier parameter	[ucd=stat.fit.param]
#Column	a2	(F9.6)	a2 Fourier parameter	[ucd=stat.fit.param]
#Column	phi2	(F9.6)	{phi}2 Fourier parameter	[ucd=stat.fit.param]
#Column	a3	(F9.6)	a3 Fourier parameter	[ucd=stat.fit.param]
#Column	phi3	(F9.6)	{phi}3 Fourier parameter	[ucd=stat.fit.param]
#Column	a4	(F9.6)	a4 Fourier parameter	[ucd=stat.fit.param]
#Column	phi4	(F9.6)	{phi}4 Fourier parameter	[ucd=stat.fit.param]
#Column	a5	(F9.6)	a5 Fourier parameter	[ucd=stat.fit.param]
#Column	phi5	(F9.6)	{phi}5 Fourier parameter	[ucd=stat.fit.param]
#Column	a6	(F9.6)	a6 Fourier parameter	[ucd=stat.fit.param]
#Column	phi6	(F9.6)	{phi}6 Fourier parameter	[ucd=stat.fit.param]
#a0	a1	phi1	a2	phi2	a3	phi3	a4	phi4	a5	phi5	a6	phi6
#mag	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad
#---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------
13.554259	 0.196115	 4.701656	 0.018937	 5.984451	 0.004745	 1.540753	-0.013832	 0.822758	 0.021820	 1.098808	-0.003711	 1.169025
13.771619	 0.310150	 4.215030	-0.151511	 1.305401	-0.113744	 2.004840	 0.049099	 5.741022	 0.033919	 1.446170	 0.033555	 5.059201
13.107579	 0.395022	 4.116643	-0.168306	 1.118257	 0.088229	 4.856026	-0.057478	 1.541533	-0.042312	 1.827827	 0.017493	 5.216090
10.222001	-0.450954	 0.956637	-0.206112	 0.989223	-0.126748	 1.211284	 0.072615	 4.722696	 0.047374	 5.092199	 0.025599	 5.388326
14.232454	 0.387701	 4.275167	 0.156748	 4.806467	 0.112694	 5.426870	 0.062437	 0.451063	 0.042109	 5.177899	 0.054748	 1.197285
13.703589	-0.276352	 0.818674	-0.148242	 1.044427	-0.079318	 1.533792	-0.051287	 1.954676	 0.026853	 0.247861	-0.024739	 4.488444
13.809237	 0.291189	 4.148452	-0.148086	 1.516330	-0.059624	 2.305793	 0.023055	 5.683467	 0.032964	 1.520322	 0.029786	 5.112771
14.028799	 0.428032	 4.099619	-0.220459	 1.037258	-0.121763	 1.281224	 0.130204	 4.921893	-0.080564	 2.122079	 0.054344	 0.258504
13.576769	 0.349019	 4.675369	 0.084597	 5.273575	 0.125697	 6.102210	 0.084277	 1.223831	-0.042857	 6.224059	 0.034568	 4.737607
10.899863	-0.235569	 0.934040	-0.110490	 1.308682	-0.069118	 1.932917	 0.032128	 5.840617	 0.015093	 6.153284	 0.007792	 0.012039
